tradingsymbol,exchange,from,entry_price,close_above_emas,close_below_emas,Unnamed: 0,date,open,high,low,close,volume,ema20,ema50,ema200,supertrend_dir,is_ema20_in_uptrend,is_ema50_in_uptrend,is_ema200_in_uptrend,is_ema20_in_downtrend,is_ema50_in_downtrend,is_ema200_in_downtrend,candle_cnt_close_above_ema50,candle_cnt_close_below_ema50,candle_cnt_ema50_above_ema200,candle_cnt_ema50_below_ema200,signal,quantity,exit_price,to,transaction_type,profit,account_value,index,strategy
NIFTY 50,NSE,2015-05-04 10:55:00+05:30,8274.25,True,False,5487,2015-05-04 10:55:00+05:30,8273.6,8278.7,8273.6,8274.25,0,8259.778103018665,8232.882257041143,8227.530225988468,1,True,True,True,False,False,False,23,0,5,0,BUY,92.0,8274.95,2015-05-06 09:35:00+05:30,SELL,64.40000000006694,153568.85000000003,37,s7_NIFTY 50_
NIFTY 50,NSE,2015-05-06 10:30:00+05:30,8145.75,False,True,5632,2015-05-06 10:30:00+05:30,8161.55,8168.95,8145.65,8145.75,0,8218.283899621216,8264.882574485866,8278.886894959098,-1,False,False,False,True,True,True,0,16,0,5,SELL,-94.0,8154.85,2015-05-08 09:20:00+05:30,BUY,-855.4000000000342,152713.45,38,s7_NIFTY 50_
NIFTY 50,NSE,2015-05-08 12:40:00+05:30,8192.85,True,False,5808,2015-05-08 12:40:00+05:30,8195.25,8198.0,8188.85,8192.85,0,8175.493064426063,8150.303782997341,8144.697669804325,1,True,True,True,False,False,False,42,0,5,0,BUY,93.0,8214.0,2015-05-12 09:30:00+05:30,SELL,1966.9499999999662,154680.39999999997,39,s7_NIFTY 50_
NIFTY 50,NSE,2015-05-12 12:00:00+05:30,8165.75,False,True,5950,2015-05-12 12:00:00+05:30,8171.1,8172.55,8161.15,8165.75,0,8181.73179950154,8214.014341487285,8220.466471020853,-1,True,True,True,True,True,True,0,34,0,5,SELL,-94.0,8223.8,2015-05-13 09:15:00+05:30,BUY,-5456.699999999932,149223.70000000004,40,s7_NIFTY 50_
NIFTY 50,NSE,2015-05-13 11:10:00+05:30,8122.9,False,True,6015,2015-05-13 11:10:00+05:30,8108.65,8124.0,8093.55,8122.9,0,8188.081422899625,8187.292625927115,8198.821755266297,-1,True,True,True,True,True,True,0,5,0,70,SELL,-91.0,8191.85,2015-05-13 13:15:00+05:30,BUY,-6274.450000000066,142949.24999999997,41,s7_NIFTY 50_
NIFTY 50,NSE,2015-05-13 15:05:00+05:30,8238.25,True,False,6062,2015-05-13 15:05:00+05:30,8242.75,8244.7,8234.1,8238.25,0,8218.7651188773,8197.750975259376,8193.446210184222,1,True,True,True,False,False,False,25,0,5,0,BUY,86.0,8148.1,2015-05-14 09:15:00+05:30,SELL,-7752.899999999969,135196.35,42,s7_NIFTY 50_
NIFTY 50,NSE,2015-05-14 10:25:00+05:30,8222.25,True,False,6081,2015-05-14 10:25:00+05:30,8208.5,8222.45,8207.1,8222.25,0,8203.938103902645,8199.00152267375,8194.579132345252,1,True,True,True,True,True,True,5,0,24,0,BUY,82.0,8185.65,2015-05-14 10:40:00+05:30,SELL,-3001.20000000003,132195.14999999997,43,s7_NIFTY 50_
NIFTY 50,NSE,2015-05-14 12:10:00+05:30,8191.1,False,True,6102,2015-05-14 12:10:00+05:30,8192.15,8193.35,8189.15,8191.1,0,8190.455134118619,8192.84607597164,8193.357747505497,1,True,True,True,True,True,True,0,5,0,8,SELL,-80.0,8202.95,2015-05-14 13:20:00+05:30,BUY,-948.0000000000291,131247.14999999994,44,s7_NIFTY 50_
NIFTY 50,NSE,2015-05-14 15:00:00+05:30,8216.35,True,False,6136,2015-05-14 15:00:00+05:30,8211.2,8222.9,8210.95,8216.35,0,8202.480874474802,8196.169545327344,8193.584665020868,1,True,True,True,False,False,False,12,0,5,0,BUY,79.0,8429.3,2015-05-25 09:15:00+05:30,SELL,16823.049999999916,148070.19999999984,45,s7_NIFTY 50_
NIFTY 50,NSE,2015-05-25 13:20:00+05:30,8378.15,False,True,6641,2015-05-25 13:20:00+05:30,8394.1,8394.3,8373.55,8378.15,0,8407.355580893145,8421.880920024994,8426.421543445911,-1,False,False,False,True,True,True,0,53,0,5,SELL,-88.0,8361.9,2015-05-28 09:15:00+05:30,BUY,1430.0,149500.19999999984,46,s7_NIFTY 50_
