tradingsymbol,exchange,from,entry_price,close_above_emas,close_below_emas,date,open,high,low,close,volume,ema20,is_ema20_in_uptrend,is_ema20_in_downtrend,ema50,is_ema50_in_uptrend,is_ema50_in_downtrend,ema200,is_ema200_in_uptrend,is_ema200_in_downtrend,candle_cnt_close_above_ema50,candle_cnt_close_below_ema50,candle_cnt_ema50_above_ema200,candle_cnt_ema50_below_ema200,signal,quantity,exit_price,to,transaction_type,profit,account_value,index,strategy
NIFTY 50,NSE,2015-04-16 10:20:00,8707.85,False,True,2015-04-16 10:20:00,8704.8,8712.25,8704.8,8707.85,0,8739.332140502154,False,True,8770.191125000534,False,True,8778.237001352021,False,True,0,21,0,5,SELL,-70.0,8461.0,2015-04-23 09:15:00,BUY,17279.500000000025,139900.85000000018,32,s7_NIFTY 50
NIFTY 50,NSE,2015-04-23 11:30:00,8398.2,False,True,2015-04-23 11:30:00,8407.9,8412.5,8391.7,8398.2,0,8431.67111049914,False,True,8424.822650446327,False,True,8442.705689512866,False,True,0,5,0,251,SELL,-83.0,8447.25,2015-04-23 14:25:00,BUY,-4071.1499999999396,135829.70000000024,33,s7_NIFTY 50
NIFTY 50,NSE,2015-04-23 15:00:00,8404.9,False,True,2015-04-23 15:00:00,8402.85,8409.2,8400.75,8404.9,0,8404.609493626951,False,True,8406.201427035243,False,True,8428.549380017781,False,True,0,5,0,251,SELL,-80.0,8274.0,2015-04-28 14:45:00,BUY,10471.99999999997,146301.70000000022,34,s7_NIFTY 50
NIFTY 50,NSE,2015-04-29 10:45:00,8229.25,False,True,2015-04-29 10:45:00,8227.7,8232.55,8225.6,8229.25,0,8250.623226411684,False,True,8248.539010250899,False,True,8268.227192432338,False,True,0,5,0,251,SELL,-88.0,8268.6,2015-04-29 12:50:00,BUY,-3462.800000000032,142838.9000000002,35,s7_NIFTY 50
NIFTY 50,NSE,2015-04-29 14:55:00,8248.15,False,True,2015-04-29 14:55:00,8251.2,8255.85,8244.95,8248.15,0,8264.266928915466,False,True,8262.081150113707,False,True,8265.135849069375,False,True,0,5,0,251,SELL,-86.0,8235.6,2015-05-04 09:15:00,BUY,1079.2999999999374,143918.20000000013,36,s7_NIFTY 50
NIFTY 50,NSE,2015-05-04 10:55:00,8274.25,True,False,2015-05-04 10:55:00,8273.6,8278.7,8273.6,8274.25,0,8259.778103018665,True,False,8232.882257041143,True,False,8227.529300176247,True,False,23,0,5,0,BUY,86.0,8274.95,2015-05-06 09:35:00,SELL,60.20000000006257,143978.4000000002,37,s7_NIFTY 50
NIFTY 50,NSE,2015-05-06 10:30:00,8145.75,False,True,2015-05-06 10:30:00,8161.55,8168.95,8145.65,8145.75,0,8218.283899621216,False,True,8264.882574485866,False,True,8278.886677793678,False,True,0,16,0,5,SELL,-88.0,8154.85,2015-05-08 09:20:00,BUY,-800.800000000032,143177.60000000015,38,s7_NIFTY 50
NIFTY 50,NSE,2015-05-08 12:40:00,8192.85,True,False,2015-05-08 12:40:00,8195.25,8198.0,8188.85,8192.85,0,8175.493064426063,True,False,8150.303782997341,True,False,8144.697632442682,True,False,42,0,5,0,BUY,87.0,8214.0,2015-05-12 09:30:00,SELL,1840.0499999999683,145017.6500000001,39,s7_NIFTY 50
NIFTY 50,NSE,2015-05-12 12:00:00,8165.75,False,True,2015-05-12 12:00:00,8171.1,8172.55,8161.15,8165.75,0,8181.73179950154,False,True,8214.014341487285,False,True,8220.466461990125,False,True,0,34,0,5,SELL,-88.0,8223.8,2015-05-13 09:15:00,BUY,-5108.399999999936,139909.25000000017,40,s7_NIFTY 50
NIFTY 50,NSE,2015-05-13 11:10:00,8122.9,False,True,2015-05-13 11:10:00,8108.65,8124.0,8093.55,8122.9,0,8188.081422899625,False,True,8187.292625927115,False,True,8198.82175055187,False,True,0,5,0,70,SELL,-86.0,8191.85,2015-05-13 13:15:00,BUY,-5929.700000000063,133979.5500000001,41,s7_NIFTY 50
NIFTY 50,NSE,2015-05-13 15:05:00,8238.25,True,False,2015-05-13 15:05:00,8242.75,8244.7,8234.1,8238.25,0,8218.7651188773,True,False,8197.750975259376,True,False,8193.446207237706,True,False,25,0,5,0,BUY,81.0,8148.1,2015-05-14 09:15:00,SELL,-7302.1499999999705,126677.40000000014,42,s7_NIFTY 50
NIFTY 50,NSE,2015-05-14 10:25:00,8222.25,True,False,2015-05-14 10:25:00,8208.5,8222.45,8207.1,8222.25,0,8203.938103902645,True,False,8199.00152267375,True,False,8194.579129908609,True,False,5,0,24,0,BUY,77.0,8185.65,2015-05-14 10:40:00,SELL,-2818.200000000028,123859.20000000011,43,s7_NIFTY 50
NIFTY 50,NSE,2015-05-14 12:10:00,8191.1,False,True,2015-05-14 12:10:00,8192.15,8193.35,8189.15,8191.1,0,8190.455134118619,True,True,8192.84607597164,False,True,8193.357745530395,False,True,0,5,0,8,SELL,-75.0,8202.95,2015-05-14 13:20:00,BUY,-888.7500000000273,122970.45000000008,44,s7_NIFTY 50
NIFTY 50,NSE,2015-05-14 15:00:00,8216.35,True,False,2015-05-14 15:00:00,8211.2,8222.9,8210.95,8216.35,0,8202.480874474802,True,False,8196.169545327344,True,False,8193.58466361505,True,False,12,0,5,0,BUY,74.0,8429.3,2015-05-25 09:15:00,SELL,15758.29999999992,138728.75,45,s7_NIFTY 50
NIFTY 50,NSE,2015-05-25 13:20:00,8378.15,False,True,2015-05-25 13:20:00,8394.1,8394.3,8373.55,8378.15,0,8407.355580893145,False,True,8421.880920024994,False,True,8426.42154343689,False,True,0,53,0,5,SELL,-82.0,8361.9,2015-05-28 09:15:00,BUY,1332.5,140061.25,46,s7_NIFTY 50
NIFTY 50,NSE,2015-05-28 11:15:00,8314.8,False,True,2015-05-28 11:15:00,8318.05,8320.3,8312.85,8314.8,0,8330.389169436574,False,True,8330.323319227235,False,True,8344.787399292505,False,True,0,5,0,205,SELL,-84.0,8352.45,2015-05-29 09:20:00,BUY,-3162.6000000001222,136898.64999999988,47,s7_NIFTY 50
NIFTY 50,NSE,2015-05-29 10:50:00,8397.7,True,False,2015-05-29 10:50:00,8398.45,8399.3,8396.2,8397.7,0,8370.581030214926,True,False,8341.95738507275,True,False,8334.08047004085,True,False,26,0,5,0,BUY,81.0,8383.55,2015-06-02 09:25:00,SELL,-1146.1500000001179,135752.49999999977,48,s7_NIFTY 50
NIFTY 50,NSE,2015-06-02 11:40:00,8312.05,False,True,2015-06-02 11:40:00,8308.75,8320.55,8307.1,8312.05,0,8356.79319950269,False,True,8387.92057805279,False,True,8398.055959388657,False,True,0,50,0,5,SELL,-81.0,8165.8,2015-06-05 12:00:00,BUY,11846.249999999927,147598.7499999997,49,s7_NIFTY 50
NIFTY 50,NSE,2015-06-05 15:10:00,8118.3,False,True,2015-06-05 15:10:00,8116.9,8123.2,8115.6,8118.3,0,8151.034655306494,False,True,8150.029369590051,False,True,8160.823153647638,False,True,0,5,0,251,SELL,-90.0,8077.65,2015-06-10 09:15:00,BUY,3658.500000000049,151257.24999999977,50,s7_NIFTY 50
NIFTY 50,NSE,2015-06-10 11:45:00,8100.35,True,False,2015-06-10 11:45:00,8100.45,8102.35,8098.1,8100.35,0,8093.891526327234,True,False,8077.4161113043165,True,False,8074.5381520721985,True,False,31,0,5,0,BUY,93.0,8067.0,2015-06-11 10:30:00,SELL,-3101.550000000034,148155.69999999972,51,s7_NIFTY 50
NIFTY 50,NSE,2015-06-11 11:55:00,8031.8,False,True,2015-06-11 11:55:00,8033.75,8039.0,8030.95,8031.8,0,8052.383600786754,False,True,8079.541890170216,False,True,8086.277848551101,False,True,0,21,0,5,SELL,-92.0,8029.45,2015-06-15 09:40:00,BUY,216.20000000003347,148371.89999999976,52,s7_NIFTY 50
NIFTY 50,NSE,2015-06-15 12:45:00,7999.35,False,True,2015-06-15 12:45:00,7990.85,7999.4,7990.1,7999.35,0,8006.231285063148,False,True,8001.735929439358,True,True,8011.065818075802,False,True,0,5,0,165,SELL,-92.0,8014.6,2015-06-15 13:00:00,BUY,-1403.0,146968.89999999976,53,s7_NIFTY 50
NIFTY 50,NSE,2015-06-15 14:15:00,8044.4,True,False,2015-06-15 14:15:00,8037.1,8044.4,8036.95,8044.4,0,8033.083213442794,True,False,8018.871247388221,True,False,8014.710550165242,True,False,18,0,5,0,BUY,91.0,8012.9,2015-06-15 15:15:00,SELL,-2866.5,144102.39999999976,54,s7_NIFTY 50
NIFTY 50,NSE,2015-06-16 09:55:00,7982.0,False,True,2015-06-16 09:55:00,7984.95,7984.95,7976.4,7982.0,0,7999.193701933326,False,True,8008.623553633632,False,True,8012.797798119169,False,True,0,14,0,5,SELL,-90.0,8004.65,2015-06-16 14:25:00,BUY,-2038.4999999999673,142063.8999999998,55,s7_NIFTY 50
NIFTY 50,NSE,2015-06-17 09:35:00,8066.0,True,False,2015-06-17 09:35:00,8069.9,8072.75,8064.85,8066.0,0,8040.443253584503,True,False,8014.349506126089,True,False,8005.9821753317565,True,False,20,0,5,0,BUY,88.0,8346.8,2015-06-24 15:10:00,SELL,24710.399999999936,166774.29999999973,56,s7_NIFTY 50
NIFTY 50,NSE,2015-06-25 13:10:00,8389.55,True,False,2015-06-25 13:10:00,8384.65,8389.75,8384.4,8389.55,0,8372.544056843775,True,False,8371.925979402791,True,False,8363.733207388106,True,False,5,0,251,0,BUY,99.0,8363.65,2015-06-26 09:30:00,SELL,-2564.099999999964,164210.19999999975,57,s7_NIFTY 50
NIFTY 50,NSE,2015-06-26 13:45:00,8376.5,True,False,2015-06-26 13:45:00,8385.9,8386.8,8373.85,8376.5,0,8373.534153195704,True,False,8373.52267896242,True,False,8372.120302522435,True,False,8,0,5,0,BUY,98.0,8369.7,2015-06-26 14:40:00,SELL,-666.3999999999287,163543.7999999998,58,s7_NIFTY 50
NIFTY 50,NSE,2015-06-26 15:25:00,8382.2,True,False,2015-06-26 15:25:00,8382.5,8383.1,8379.45,8382.2,0,8381.738672036347,True,True,8379.036309400637,True,True,8374.240944854497,True,True,5,0,25,0,BUY,97.0,8221.1,2015-06-29 09:15:00,SELL,-15626.700000000035,147917.09999999977,59,s7_NIFTY 50
NIFTY 50,NSE,2015-06-29 09:40:00,8226.45,False,True,2015-06-29 09:40:00,8230.4,8236.25,8224.6,8226.45,0,8312.607531801745,False,True,8346.868300207034,False,True,8365.731391680813,False,True,0,6,0,5,SELL,-89.0,8319.85,2015-06-29 14:10:00,BUY,-8312.599999999968,139604.4999999998,60,s7_NIFTY 50
NIFTY 50,NSE,2015-06-30 12:00:00,8330.25,True,False,2015-06-30 12:00:00,8329.7,8330.25,8324.75,8330.25,0,8331.774125048623,True,True,8319.29204585454,True,False,8317.156972276005,True,False,53,0,6,0,BUY,83.0,8316.8,2015-06-30 12:45:00,SELL,-1116.3500000000604,138488.14999999973,61,s7_NIFTY 50
NIFTY 50,NSE,2015-06-30 13:30:00,8335.0,True,False,2015-06-30 13:30:00,8333.65,8336.85,8332.6,8335.0,0,8329.295353934363,True,False,8324.046664329995,True,False,8319.040538351801,True,False,5,0,24,0,BUY,83.0,8318.25,2015-06-30 13:45:00,SELL,-1390.25,137097.89999999973,62,s7_NIFTY 50
NIFTY 50,NSE,2015-06-30 14:40:00,8339.15,True,False,2015-06-30 14:40:00,8343.45,8346.0,8338.65,8339.15,0,8329.224460417667,True,False,8325.879962335352,True,False,8320.208675132204,True,False,5,0,38,0,BUY,82.0,8431.85,2015-07-06 09:15:00,SELL,7601.40000000006,144699.29999999978,63,s7_NIFTY 50
NIFTY 50,NSE,2015-07-06 11:10:00,8412.35,False,True,2015-07-06 11:10:00,8405.05,8413.4,8402.75,8412.35,0,8423.40729983106,False,True,8441.678441332979,False,True,8446.16489173926,False,True,0,24,0,5,SELL,-86.0,8447.7,2015-07-06 12:35:00,BUY,-3040.1000000000313,141659.19999999975,64,s7_NIFTY 50
