tradingsymbol,exchange,from,entry_price,close_above_emas,close_below_emas,Unnamed: 0,date,open,high,low,close,volume,ema20,ema50,ema200,supertrend_dir,is_ema20_in_uptrend,is_ema50_in_uptrend,is_ema200_in_uptrend,is_ema20_in_downtrend,is_ema50_in_downtrend,is_ema200_in_downtrend,candle_cnt_close_above_ema50,candle_cnt_close_below_ema50,candle_cnt_ema50_above_ema200,candle_cnt_ema50_below_ema200,signal,quantity,exit_price,to,transaction_type,profit,account_value,index,strategy
NIFTY 50,NSE,2022-12-15 12:05:00+05:30,18546.1,False,True,144438,2022-12-15 12:05:00+05:30,18545.05,18554.45,18543.55,18546.1,0,18568.359972749902,18593.24007987153,18599.635462503215,-1,False,False,False,True,True,True,0,37,0,5,SELL,-2179.0,18388.25,2022-12-20 15:20:00+05:30,BUY,343955.1499999968,8428398.600000013,775,s8_NIFTY 50
NIFTY 50,NSE,2022-12-22 09:40:00+05:30,18191.8,False,True,144709,2022-12-22 09:40:00+05:30,18176.4,18200.85,18172.9,18191.8,0,18282.58095621194,18287.93157605421,18327.83831920212,-1,False,False,False,True,True,True,0,6,0,280,SELL,-2316.0,18063.4,2022-12-26 14:40:00+05:30,BUY,297374.39999999496,8725773.000000007,776,s8_NIFTY 50
NIFTY 50,NSE,2022-12-27 13:45:00+05:30,18092.65,True,False,144983,2022-12-27 13:45:00+05:30,18067.45,18096.15,18064.55,18092.65,0,18057.312124711996,18044.21503893344,18029.07416450121,1,True,True,True,False,True,True,10,0,31,0,BUY,2411.0,18010.8,2022-12-29 09:40:00+05:30,SELL,-197340.35000000527,8528432.650000002,777,s8_NIFTY 50
NIFTY 50,NSE,2022-12-29 10:45:00+05:30,18022.05,False,True,145097,2022-12-29 10:45:00+05:30,18022.3,18023.8,18013.7,18022.05,0,18034.41691936624,18072.444147643997,18079.442006099594,-1,True,True,True,True,True,True,0,23,0,5,SELL,-2366.0,18091.65,2022-12-29 14:30:00+05:30,BUY,-164673.60000000516,8363759.049999997,778,s8_NIFTY 50
NIFTY 50,NSE,2022-12-29 15:20:00+05:30,18205.9,True,False,145152,2022-12-29 15:20:00+05:30,18196.4,18208.95,18196.4,18205.9,0,18132.01729412434,18091.82314763098,18075.70584825089,1,True,True,True,False,True,True,23,0,5,0,BUY,2296.0,18123.05,2023-01-02 09:30:00+05:30,SELL,-190223.600000005,8173535.449999992,779,s8_NIFTY 50
NIFTY 50,NSE,2023-01-02 11:00:00+05:30,18192.3,True,False,145250,2023-01-02 11:00:00+05:30,18181.1,18194.35,18179.3,18192.3,0,18167.99065724055,18167.94421420784,18144.502138246964,1,True,True,True,False,True,True,7,0,103,0,BUY,2246.0,18129.8,2023-01-04 10:10:00+05:30,SELL,-140375.0,8033160.449999992,780,s8_NIFTY 50
NIFTY 50,NSE,2023-01-04 11:15:00+05:30,18112.0,False,True,145403,2023-01-04 11:15:00+05:30,18096.7,18112.0,18095.05,18112.0,0,18140.95381214841,18169.99406682189,18178.5980070622,-1,False,False,False,True,True,True,0,21,0,5,SELL,-2217.0,18072.45,2023-01-09 10:05:00+05:30,BUY,87682.34999999839,8120842.7999999905,781,s8_NIFTY 50
NIFTY 50,NSE,2023-01-09 11:25:00+05:30,18115.6,True,False,145630,2023-01-09 11:25:00+05:30,18111.35,18117.95,18104.9,18115.6,0,18070.63218968883,18004.179491147246,17989.96618474523,1,True,True,True,True,False,False,27,0,5,0,BUY,2241.0,17988.9,2023-01-10 10:20:00+05:30,SELL,-283934.6999999935,7836908.099999997,782,s8_NIFTY 50
NIFTY 50,NSE,2023-01-10 11:30:00+05:30,17936.9,False,True,145706,2023-01-10 11:30:00+05:30,17941.05,17942.15,17927.25,17936.9,0,17973.30019762127,18005.75017948024,18014.182146608044,-1,False,False,False,True,True,True,0,28,0,5,SELL,-2184.0,17922.7,2023-01-13 12:50:00+05:30,BUY,31012.80000000159,7867920.8999999985,783,s8_NIFTY 50
NIFTY 50,NSE,2023-01-13 13:45:00+05:30,17979.95,True,False,145958,2023-01-13 13:45:00+05:30,17975.2,17983.9,17972.8,17979.95,0,17929.7761379658,17884.92896323571,17874.434104918208,1,True,True,True,False,False,False,25,0,5,0,BUY,2187.0,17869.35,2023-01-16 13:55:00+05:30,SELL,-241882.20000000478,7626038.699999994,784,s8_NIFTY 50
NIFTY 50,NSE,2023-01-17 09:50:00+05:30,17997.3,True,False,146061,2023-01-17 09:50:00+05:30,17984.6,17997.55,17983.65,17997.3,0,17931.070703947014,17918.850872254272,17909.93869811894,1,True,True,True,False,False,False,8,0,5,0,BUY,2118.0,18077.85,2023-01-20 13:45:00+05:30,SELL,170604.89999999845,7796643.599999992,785,s8_NIFTY 50
