tradingsymbol,exchange,from,entry_price,close_above_emas,close_below_emas,date,open,high,low,close,volume,ema20,is_ema20_in_uptrend,ema20_uptrend_time_span,is_ema20_in_downtrend,ema20_downtrend_time_span,ema50,is_ema50_in_uptrend,ema50_uptrend_time_span,is_ema50_in_downtrend,ema50_downtrend_time_span,ema100,is_ema100_in_uptrend,ema100_uptrend_time_span,is_ema100_in_downtrend,ema100_downtrend_time_span,ema200,is_ema200_in_uptrend,ema200_uptrend_time_span,is_ema200_in_downtrend,ema200_downtrend_time_span,candle_cnt_close_above_ema50,candle_cnt_close_below_ema50,candle_cnt_ema50_above_ema200,candle_cnt_ema50_below_ema200,signal,quantity,exit_price,to,transaction_type,index,strategy
NIFTY BANK,NSE,2019-07-26 12:05:00,29316.5,True,False,2019-07-26 12:05:00,29292.05,29324.9,29274.2,29316.5,0,29253.002954862404,True,17,False,0,29178.97865582921,True,11,False,0,29134.489526138743,True,9,False,0,29158.307149567103,True,17,False,0,19,0,5,0,BUY,1,29206.25,2019-07-29 11:45:00,SELL,703,s6
NIFTY BANK,NSE,2019-07-29 14:00:00,29284.4,True,False,2019-07-29 14:00:00,29315.1,29320.45,29279.8,29284.4,0,29264.338959446966,True,13,False,0,29263.73088301883,True,10,False,0,29256.554222751995,True,10,False,0,29236.41897290641,True,10,False,0,5,0,103,0,BUY,1,29282.8,2019-07-30 11:30:00,SELL,704,s6
NIFTY BANK,NSE,2019-07-30 14:50:00,28774.2,False,True,2019-07-30 14:50:00,28810.15,28829.75,28739.5,28774.2,0,29024.141847590905,False,0,True,16,29161.97665468285,False,0,True,5,29226.90272415799,False,0,False,0,29244.779948245392,False,0,True,9,0,45,0,9,SELL,-1,28479.4,2019-08-02 14:15:00,BUY,705,s6
NIFTY BANK,NSE,2019-08-02 15:05:00,28222.2,False,True,2019-08-02 15:05:00,28179.35,28231.25,28171.9,28222.2,0,28275.09172848456,False,0,True,6,28245.24749118601,False,0,True,5,28280.686777283645,False,0,True,5,28438.53597161405,False,0,True,17,0,5,0,237,SELL,-1,27958.95,2019-08-06 12:45:00,BUY,706,s6
NIFTY BANK,NSE,2019-08-07 09:15:00,27994.4,True,False,2019-08-07 09:15:00,28053.85,28072.1,27939.45,27994.4,0,28029.03325646916,False,0,True,7,27971.89645752081,True,16,False,0,27914.882713080253,True,16,False,0,27966.65591687129,True,14,False,0,53,0,5,0,BUY,1,27923.8,2019-08-07 09:20:00,SELL,707,s6
NIFTY BANK,NSE,2019-08-07 10:10:00,28043.05,True,False,2019-08-07 10:10:00,28070.55,28070.55,28032.7,28043.05,0,28017.52064550484,True,6,False,0,27983.28299593948,True,8,False,0,27931.91182743468,True,7,False,0,27970.098130096256,True,5,False,0,8,0,16,0,BUY,1,27887.4,2019-08-07 13:40:00,SELL,708,s6
NIFTY BANK,NSE,2019-08-07 15:05:00,27702.5,False,True,2019-08-07 15:05:00,27730.0,27752.3,27694.65,27702.5,0,27881.32433638464,False,0,False,0,27959.753067047703,False,0,True,19,27970.33409063081,False,0,True,19,27983.974479384964,False,0,True,18,0,19,0,5,SELL,-1,27912.25,2019-08-08 14:25:00,BUY,709,s6
NIFTY BANK,NSE,2019-08-09 09:40:00,28359.8,True,False,2019-08-09 09:40:00,28304.85,28365.4,28294.9,28359.8,0,28145.304326966056,True,8,False,0,27955.414569608685,True,10,False,0,27884.113684686712,True,19,False,0,27890.0849002036,True,19,False,0,19,0,5,0,BUY,1,28145.9,2019-08-13 09:15:00,SELL,710,s6
NIFTY BANK,NSE,2019-08-13 13:20:00,27975.4,False,True,2019-08-13 13:20:00,28005.55,28009.95,27941.1,27975.4,0,28070.926250208864,False,0,True,12,28132.380018556963,False,0,True,5,28177.67479765517,False,0,True,10,28147.50186150845,False,0,True,10,0,50,0,6,SELL,-1,28045.65,2019-08-14 11:20:00,BUY,711,s6
NIFTY BANK,NSE,2019-08-16 09:25:00,27760.6,False,True,2019-08-16 09:25:00,27795.55,27807.6,27757.4,27760.6,0,27951.73723309796,False,0,True,15,27976.196576436247,False,0,True,15,27989.690024635467,False,0,True,15,28020.0471170881,False,0,True,15,0,5,0,109,SELL,-1,27996.1,2019-08-16 11:10:00,BUY,712,s6
NIFTY BANK,NSE,2019-08-16 13:10:00,28215.95,True,False,2019-08-16 13:10:00,28186.2,28238.85,28183.0,28215.95,0,28123.38996220296,True,12,False,0,28049.08048032214,True,10,False,0,28016.07126322448,True,6,False,0,28019.45682654563,True,5,False,0,30,0,7,0,BUY,1,28196.0,2019-08-19 14:40:00,SELL,713,s6
NIFTY BANK,NSE,2019-08-20 10:40:00,27938.8,False,True,2019-08-20 10:40:00,27917.7,27956.05,27914.0,27938.8,0,28017.857236403263,False,0,False,0,28146.76576966812,False,0,True,13,28199.683228485435,False,0,True,11,28179.7295104642,False,0,True,8,0,33,0,5,SELL,-1,28074.65,2019-08-21 10:05:00,BUY,714,s6
