tradingsymbol,exchange,from,entry_price,close_above_emas,close_below_emas,date,open,high,low,close,volume,ema5,is_ema5_in_uptrend,ema5_uptrend_time_span,is_ema5_in_downtrend,ema5_downtrend_time_span,ema20,is_ema20_in_uptrend,ema20_uptrend_time_span,is_ema20_in_downtrend,ema20_downtrend_time_span,ema50,is_ema50_in_uptrend,ema50_uptrend_time_span,is_ema50_in_downtrend,ema50_downtrend_time_span,ema100,is_ema100_in_uptrend,ema100_uptrend_time_span,is_ema100_in_downtrend,ema100_downtrend_time_span,ema200,is_ema200_in_uptrend,ema200_uptrend_time_span,is_ema200_in_downtrend,ema200_downtrend_time_span,candle_cnt_ema20_above_ema50,candle_cnt_ema20_below_ema50,candle_cnt_close_above_ema50,candle_cnt_close_below_ema50,candle_cnt_ema50_above_ema200,candle_cnt_ema50_below_ema200,signal,quantity,exit_price,to,transaction_type,index,strategy
NIFTY BANK,NSE,2017-09-04 12:05:00,24209.75,False,True,2017-09-04 12:05:00,24213.25,24219.75,24183.1,24209.75,0,24233.97753450476,False,0,True,5,24288.683436921776,False,0,True,14,24338.359532111528,False,0,True,18,24360.647389535283,False,0,True,16,24353.956129471244,False,0,True,15,0,34,0,38,0,5,SELL,-1,24316.4,2017-09-05 09:25:00,BUY,290,s8
NIFTY BANK,NSE,2017-09-06 09:50:00,24182.15,False,True,2017-09-06 09:50:00,24204.55,24206.4,24182.15,24182.15,0,24193.69785705557,False,0,True,5,24252.433585947525,False,0,True,13,24287.57181874348,False,0,True,13,24299.30581593518,False,0,True,9,24309.603644089675,False,0,True,9,0,8,0,10,0,7,SELL,-1,24286.5,2017-09-06 13:05:00,BUY,291,s8
NIFTY BANK,NSE,2017-09-07 09:45:00,24385.3,True,False,2017-09-07 09:45:00,24374.25,24385.85,24368.4,24385.3,0,24375.994134371183,True,9,False,0,24335.858226069176,True,20,False,0,24304.21281555085,True,15,False,0,24290.847448582623,True,17,False,0,24293.50333024581,True,8,False,0,36,0,9,0,5,0,BUY,1,24277.15,2017-09-07 15:20:00,SELL,292,s8
NIFTY BANK,NSE,2017-09-11 09:35:00,24480.6,True,False,2017-09-11 09:35:00,24493.7,24500.15,24479.6,24480.6,0,24470.24039358628,True,5,False,0,24402.86802649777,True,16,False,0,24367.07079516904,True,15,False,0,24352.61769887581,True,15,False,0,24338.83667138083,True,15,False,0,11,0,15,0,153,0,BUY,1,24837.85,2017-09-15 09:35:00,SELL,293,s8
NIFTY BANK,NSE,2017-09-18 09:40:00,25062.65,True,False,2017-09-18 09:40:00,25034.8,25070.2,25034.05,25062.65,0,25032.49953257649,True,6,False,0,24944.7452558833,True,6,False,0,24899.80917896829,True,5,False,0,24885.468570078225,True,18,False,0,24860.9457945374,True,6,False,0,18,0,6,0,251,0,BUY,1,25002.65,2017-09-20 09:25:00,SELL,294,s8
NIFTY BANK,NSE,2017-09-20 13:20:00,24974.4,False,True,2017-09-20 13:20:00,24975.1,24977.65,24962.3,24974.4,0,24976.76427428377,False,0,True,6,24985.133796430684,False,0,True,15,24999.67009182618,False,0,True,16,25011.919606422587,False,0,True,15,25002.60403339551,False,0,True,18,0,50,0,44,0,5,SELL,-1,25016.1,2017-09-20 14:35:00,BUY,295,s8
NIFTY BANK,NSE,2017-09-20 15:10:00,24970.3,False,True,2017-09-20 15:10:00,24982.65,24985.45,24966.7,24970.3,0,24980.467913800625,False,0,True,5,24986.664948028003,False,0,True,5,24992.24226492764,False,0,True,18,25002.969495643505,False,0,True,17,24999.45003837424,False,0,True,20,0,72,0,5,0,27,SELL,-1,24290.0,2017-09-27 09:15:00,BUY,296,s8
NIFTY BANK,NSE,2017-09-27 12:05:00,23990.35,False,True,2017-09-27 12:05:00,23982.65,24001.25,23980.0,23990.35,0,23997.679697037987,False,0,True,8,24029.2137201873,False,0,True,9,24078.63329231353,False,0,True,5,24109.29139572322,False,0,True,5,24190.95482013687,False,0,True,18,0,21,0,25,0,251,SELL,-1,23977.7,2017-09-28 15:00:00,BUY,297,s8
NIFTY BANK,NSE,2017-09-29 13:20:00,24165.2,True,False,2017-09-29 13:20:00,24149.3,24167.05,24148.65,24165.2,0,24156.40630704022,True,5,False,0,24154.7260136961,True,5,False,0,24115.164217576614,True,7,False,0,24046.71892821131,True,17,False,0,24027.70887174693,True,16,False,0,56,0,67,0,38,0,BUY,1,24049.45,2017-09-29 15:05:00,SELL,298,s8
NIFTY BANK,NSE,2017-10-04 10:05:00,24124.2,True,False,2017-10-04 10:05:00,24133.8,24140.85,24118.1,24124.2,0,24119.894960915248,True,8,False,0,24105.436411176262,True,5,False,0,24098.12166949372,True,5,False,0,24092.210237627085,True,5,False,0,24075.95941458274,True,5,False,0,13,0,8,0,149,0,BUY,1,24081.8,2017-10-04 14:30:00,SELL,299,s8
NIFTY BANK,NSE,2017-10-05 09:55:00,24161.8,True,False,2017-10-05 09:55:00,24149.0,24166.35,24148.95,24161.8,0,24151.164905628284,True,8,False,0,24140.858906140915,True,8,False,0,24135.837692620487,True,8,False,0,24125.857038042228,True,18,False,0,24106.48533656401,True,18,False,0,86,0,5,0,222,0,BUY,1,24101.6,2017-10-05 10:30:00,SELL,300,s8
NIFTY BANK,NSE,2017-10-05 13:25:00,24044.85,False,True,2017-10-05 13:25:00,24049.05,24054.2,24037.0,24044.85,0,24048.40698602001,False,0,True,9,24059.341943447187,False,0,True,17,24084.281208055807,False,0,True,17,24099.703810907384,False,0,True,16,24098.743747947672,False,0,True,10,0,32,0,37,0,12,SELL,-1,24101.0,2017-10-05 13:40:00,BUY,301,s8
NIFTY BANK,NSE,2017-10-05 15:15:00,24060.15,False,True,2017-10-05 15:15:00,24043.1,24064.1,24040.75,24060.15,0,24062.99014596573,False,0,True,6,24074.407503167226,False,0,True,5,24081.411134791066,False,0,True,5,24092.7782948192,False,0,True,18,24095.169910144283,False,0,True,12,0,54,0,5,0,34,SELL,-1,24168.9,2017-10-06 09:15:00,BUY,302,s8
NIFTY BANK,NSE,2017-10-06 10:15:00,24190.1,True,False,2017-10-06 10:15:00,24195.65,24203.3,24188.1,24190.1,0,24188.82183985881,True,5,False,0,24152.75373909218,True,13,False,0,24120.656642157115,True,13,False,0,24111.696776828063,True,13,False,0,24104.81435483637,True,13,False,0,12,0,13,0,7,0,BUY,1,24134.45,2017-10-06 14:25:00,SELL,303,s8
NIFTY BANK,NSE,2017-10-09 10:00:00,24305.0,True,False,2017-10-09 10:00:00,24281.6,24305.4,24276.75,24305.0,0,24280.200477109232,True,8,False,0,24230.62511231652,True,20,False,0,24199.24855220194,True,16,False,0,24176.65359299608,False,0,False,0,24150.892348596422,True,5,False,0,14,0,8,0,79,0,BUY,1,24327.8,2017-10-11 13:25:00,SELL,304,s8
NIFTY BANK,NSE,2017-10-11 15:25:00,24055.55,False,True,2017-10-11 15:25:00,24093.35,24100.15,24054.55,24055.55,0,24088.138362706504,False,0,True,5,24147.48583330399,False,0,True,9,24243.06523421782,False,0,True,9,24293.61517433144,False,0,True,6,24292.70596010553,False,0,True,5,0,25,0,29,0,11,SELL,-1,24221.95,2017-10-12 14:30:00,BUY,305,s8
NIFTY BANK,NSE,2017-10-13 11:05:00,24665.8,True,False,2017-10-13 11:05:00,24658.05,24671.9,24650.3,24665.8,0,24637.33921854988,True,5,False,0,24547.931597971983,True,12,False,0,24417.06371137083,True,8,False,0,24329.46004729481,True,19,False,0,24288.87871195044,True,15,False,0,38,0,40,0,21,0,BUY,1,24589.5,2017-10-17 12:35:00,SELL,306,s8
NIFTY BANK,NSE,2017-10-18 09:55:00,24407.65,False,True,2017-10-18 09:55:00,24394.2,24407.65,24388.35,24407.65,0,24414.373977098432,False,0,True,7,24506.77953578317,False,0,True,15,24586.054921156265,False,0,True,9,24627.53676701027,False,0,True,8,24613.61386700728,False,0,True,9,0,45,0,16,0,5,SELL,-1,24223.2,2017-10-24 09:45:00,BUY,307,s8
NIFTY BANK,NSE,2017-10-25 10:25:00,24684.95,True,False,2017-10-25 10:25:00,24679.15,24695.6,24675.2,24684.95,0,24671.613088174632,True,7,False,0,24576.76219000157,True,13,False,0,24425.355241443343,True,13,False,0,24322.128845635987,True,11,False,0,24286.46448143704,True,10,False,0,95,0,15,0,15,0,BUY,1,24848.15,2017-10-27 15:05:00,SELL,308,s8
NIFTY BANK,NSE,2017-10-30 11:45:00,25039.4,True,False,2017-10-30 11:45:00,25021.85,25041.55,25015.25,25039.4,0,25026.62022887669,True,5,False,0,25011.04248002004,True,11,False,0,24981.89616353967,True,11,False,0,24960.54110271339,True,11,False,0,24899.709592504965,True,11,False,0,26,0,31,0,251,0,BUY,1,25540.2,2017-11-06 15:20:00,SELL,309,s8
NIFTY BANK,NSE,2017-11-07 13:30:00,25422.45,False,True,2017-11-07 13:30:00,25445.9,25454.3,25422.15,25422.45,0,25442.22980925269,False,0,True,6,25463.1288512874,False,0,True,15,25493.37650083398,False,0,True,10,25525.81970609597,False,0,True,7,25524.13647331428,False,0,True,5,0,63,0,47,0,27,SELL,-1,25345.4,2017-11-09 15:25:00,BUY,310,s8
NIFTY BANK,NSE,2017-11-10 14:00:00,25575.4,True,False,2017-11-10 14:00:00,25542.9,25587.75,25542.9,25575.4,0,25539.3106993024,True,5,False,0,25442.491156939584,True,14,False,0,25381.820083631595,True,7,False,0,25346.11012760664,False,0,False,0,25343.4600170483,True,19,False,0,61,0,14,0,10,0,BUY,1,25327.95,2017-11-10 14:55:00,SELL,311,s8
NIFTY BANK,NSE,2017-11-13 09:15:00,25551.6,True,False,2017-11-13 09:15:00,25570.25,25610.4,25544.5,25551.6,0,25527.6934984816,True,7,False,0,25472.63680211448,True,6,False,0,25426.024471547946,True,7,False,0,25382.096805932604,True,20,False,0,25363.302451957465,True,17,False,0,79,0,7,0,28,0,BUY,1,25396.6,2017-11-13 14:55:00,SELL,312,s8
NIFTY BANK,NSE,2017-11-14 11:15:00,25291.55,False,True,2017-11-14 11:15:00,25300.5,25306.2,25283.9,25291.55,0,25297.39706446485,False,0,True,5,25316.172722054733,False,0,True,9,25363.864860939306,False,0,True,9,25396.68465758897,False,0,False,0,25399.64389875588,False,0,True,12,0,42,0,49,0,15,SELL,-1,25395.35,2017-11-14 14:30:00,BUY,313,s8
NIFTY BANK,NSE,2017-11-15 11:30:00,25255.1,False,True,2017-11-15 11:30:00,25249.45,25261.65,25247.65,25255.1,0,25256.01057548265,False,0,True,5,25267.006754812603,False,0,True,13,25279.11150464656,False,0,True,13,25303.216415884486,False,0,True,18,25334.61518081908,False,0,True,10,0,32,0,13,0,93,SELL,-1,25317.15,2017-11-15 13:55:00,BUY,314,s8
NIFTY BANK,NSE,2017-11-15 14:40:00,25190.8,False,True,2017-11-15 14:40:00,25188.25,25196.75,25167.2,25190.8,0,25207.912911046216,False,0,True,9,25240.90118637952,False,0,True,7,25254.17634301105,False,0,True,7,25274.139206500247,False,0,True,16,25307.58532561017,False,0,True,8,0,5,0,7,0,131,SELL,-1,25305.25,2017-11-16 09:15:00,BUY,315,s8
